weight,status,FINALDEST,FOOTINGS,LEASE,LOCATION,REGION,PIERS,SECURED,TITLED,SECTIONS,PRICE,SQFT,BEDROOMS,SHIPMONTH,WGTADJ,CONTROL,BEDROOMS_PER_SQFT,LOG_SQFT
47.392900000000004,2,1,5,0,Suburban,South,1,1,Land-Home,1,85000,1000,3,202301,1.0981,23010048,3.0,6.90875477931522
47.392900000000004,2,1,3,0,Rural,South,1,1,Land-Home,1,78000,920,3,202301,1.0981,23010049,3.260869565217391,6.825460036255307
12.9182,1,1,3,0,Urban,Midwest,1,1,Land-Home,1,80000,920,3,202301,1.0981,23010050,3.260869565217391,6.825460036255307
12.9182,2,1,4,0,Urban,Midwest,1,1,Land-Home,1,120000,1100,3,202301,1.0981,23010051,2.7272727272727275,7.00397413672268
12.9182,1,1,3,0,Urban,Midwest,1,1,Land-Home,1,53000,780,1,202301,1.0981,23010052,1.2820512820512822,6.660575149839686
47.392900000000004,2,1,3,0,Rural,South,1,1,Land-Home,1,47200,840,1,202301,1.0981,23010053,1.1904761904761907,6.734591659972948
16.5579,2,1,3,0,Suburban,West,1,1,Land-Home,1,70000,730,1,202301,1.0981,23010054,1.36986301369863,6.594413459749778
12.3667,2,1,3,0,Urban,Northeast,1,1,Land-Home,1,80000,920,3,202301,1.0981,23010055,3.260869565217391,6.825460036255307
12.3667,1,1,3,0,Urban,Northeast,1,1,Land-Home,1,79000,900,1,202301,1.0981,23010056,1.1111111111111112,6.803505257608338
47.392900000000004,2,1,4,0,Rural,South,1,1,Land-Home,1,85000,1000,3,202301,1.0981,23010057,3.0,6.90875477931522
47.392900000000004,2,1,5,0,Rural,South,1,1,Land-Home,1,120000,1000,1,202301,1.0981,23010058,1.0,6.90875477931522
47.392900000000004,2,1,3,0,Suburban,South,1,1,Vehicle,1,80000,1200,3,202301,1.0981,23010059,2.5,7.0909098220799835
47.392900000000004,2,1,3,0,Rural,South,1,1,Vehicle,1,80000,920,3,202301,1.0981,23010060,3.260869565217391,6.825460036255307
47.392900000000004,2,1,3,0,Rural,South,1,1,Land-Home,1,95000,1200,3,202301,1.0981,23010061,2.5,7.0909098220799835
47.392900000000004,2,1,3,0,Suburban,South,1,1,Land-Home,1,62000,920,3,202301,1.0981,23010062,3.260869565217391,6.825460036255307
12.9182,2,1,5,0,Rural,Midwest,1,1,Other,1,82000,960,1,202301,1.0981,23010063,1.0416666666666667,6.8679744089702925
16.5579,2,1,1,0,Rural,West,0,0,Land-Home,1,130000,900,1,202301,1.0981,23010064,1.1111111111111112,6.803505257608338
16.5579,2,1,1,0,Suburban,West,0,0,Land-Home,1,120000,960,1,202301,1.0981,23010065,1.0416666666666667,6.8679744089702925
16.5579,1,1,2,0,Rural,West,0,0,Vehicle,1,80000,920,3,202301,1.0981,23010066,3.260869565217391,6.825460036255307
16.5579,2,1,2,0,Urban,West,0,0,Land-Home,1,74000,800,1,202301,1.0981,23010067,1.25,6.68586094706836
16.5579,2,1,1,0,Urban,West,0,0,Vehicle,1,70000,730,1,202301,1.0981,23010068,1.36986301369863,6.594413459749778
12.3667,2,1,1,0,Urban,Northeast,0,0,Land-Home,1,73000,780,1,202301,1.0981,23010071,1.2820512820512822,6.660575149839686
16.5579,2,1,2,0,Rural,West,0,0,Land-Home,1,68000,1200,3,202301,1.0981,23010074,2.5,7.0909098220799835
12.9182,2,1,2,0,Urban,Midwest,0,0,Land-Home,1,76000,830,1,202301,1.0981,23010075,1.2048192771084338,6.7226297948554485
12.9182,1,1,1,0,Rural,Midwest,0,0,Land-Home,1,95000,1200,3,202301,1.0981,23010076,2.5,7.0909098220799835
12.3667,2,1,1,0,Urban,Northeast,0,0,Land-Home,1,86000,900,1,202301,1.0981,23010078,1.1111111111111112,6.803505257608338
12.9182,1,1,1,0,Rural,Midwest,0,0,Land-Home,1,82000,960,1,202301,1.0981,23010079,1.0416666666666667,6.8679744089702925
12.9182,1,1,2,0,Urban,Midwest,0,0,Land-Home,1,90000,960,1,202301,1.0981,23010080,1.0416666666666667,6.8679744089702925
16.5579,2,1,2,0,Rural,West,0,0,Land-Home,1,78000,870,3,202301,1.0981,23010081,3.4482758620689653,6.769641976852503
12.3667,1,1,1,0,Urban,Northeast,0,0,Land-Home,1,140000,780,1,202301,1.0981,23010082,1.2820512820512822,6.660575149839686
12.3667,1,1,1,0,Urban,Northeast,0,0,Land-Home,1,180000,900,1,202301,1.0981,23010083,1.1111111111111112,6.803505257608338
12.9182,1,1,1,0,Suburban,Midwest,0,0,Other,1,80000,920,3,202301,1.0981,23010084,3.260869565217391,6.825460036255307
12.9182,1,1,1,0,Rural,Midwest,0,0,Other,1,79000,900,1,202301,1.0981,23010085,1.1111111111111112,6.803505257608338
16.5579,1,2,9,0,,West,9,9,,1,81000,640,1,202301,1.0981,23010086,1.5625,6.46302945692067
12.9182,1,2,9,0,,Midwest,9,9,,1,70000,900,1,202301,1.0981,23010087,1.1111111111111112,6.803505257608338
12.9182,1,2,9,0,,Midwest,9,9,,1,70000,900,1,202301,1.0981,23010088,1.1111111111111112,6.803505257608338
12.9182,1,2,9,0,,Midwest,9,9,,1,70000,1100,3,202301,1.0981,23010090,2.7272727272727275,7.00397413672268
47.392900000000004,1,2,9,0,,South,9,9,,1,91000,1100,3,202301,1.0981,23010091,2.7272727272727275,7.00397413672268
12.9182,1,2,9,0,,Midwest,9,9,,1,90000,1100,3,202301,1.0981,23010092,2.7272727272727275,7.00397413672268
12.9182,1,2,9,0,,Midwest,9,9,,1,89000,1100,3,202301,1.0981,23010093,2.7272727272727275,7.00397413672268
12.9182,1,2,9,0,,Midwest,9,9,,1,83000,1100,1,202301,1.0981,23010094,0.9090909090909091,7.00397413672268
12.9182,1,2,9,0,,Midwest,9,9,,1,87000,1100,3,202301,1.0981,23010096,2.7272727272727275,7.00397413672268
12.9182,1,2,9,0,,Midwest,9,9,,1,87000,1100,3,202301,1.0981,23010097,2.7272727272727275,7.00397413672268
47.392900000000004,2,2,9,0,,South,9,9,,1,87000,1100,3,202301,1.0981,23010098,2.7272727272727275,7.00397413672268
47.392900000000004,1,2,9,0,,South,9,9,,1,71000,650,1,202301,1.0981,23010099,1.5384615384615385,6.478509642208569
47.392900000000004,1,2,9,0,,South,9,9,,1,95000,1200,3,202301,1.0981,23010100,2.5,7.0909098220799835
12.3667,1,2,9,0,,Northeast,9,9,,1,80000,920,3,202301,1.0981,23010101,3.260869565217391,6.825460036255307
47.392900000000004,1,2,9,0,,South,9,9,,1,85000,1000,3,202301,1.0981,23010102,3.0,6.90875477931522
47.392900000000004,1,2,9,0,,South,9,9,,1,100000,1200,3,202301,1.0981,23010103,2.5,7.0909098220799835
12.9182,1,2,9,0,,Midwest,9,9,,1,74000,1100,3,202301,1.0981,23010104,2.7272727272727275,7.00397413672268
12.367,1,2,9,0,,Northeast,9,9,,1,79000,920,3,202301,1.0981,23010105,3.260869565217391,6.825460036255307
12.3667,1,2,9,0,,Northeast,9,9,,1,92000,780,1,202301,1.0981,23010106,1.2820512820512822,6.660575149839686
12.9182,1,2,9,0,,Midwest,9,9,,1,90000,1100,3,202301,1.0981,23010107,2.7272727272727275,7.00397413672268
12.9182,1,2,9,0,,Midwest,9,9,,1,79000,900,1,202301,1.0981,23010108,1.1111111111111112,6.803505257608338
12.9182,1,2,9,0,,Midwest,9,9,,1,87000,1100,1,202301,1.0981,23010109,0.9090909090909091,7.00397413672268
47.392900000000004,1,2,9,0,,South,9,9,,1,95000,1200,3,202301,1.0981,23010110,2.5,7.0909098220799835
12.3667,1,2,9,0,,Northeast,9,9,,1,84000,1100,1,202301,1.0981,23010111,0.9090909090909091,7.00397413672268
12.9182,1,2,9,0,,Midwest,9,9,,1,70000,670,1,202301,1.0981,23010112,1.492537313432836,6.508769136971682
12.9182,1,2,9,0,,Midwest,9,9,,1,100000,1300,3,202301,1.0981,23010113,2.307692307692308,7.170888478512505
12.3667,1,2,9,0,,Northeast,9,9,,1,80000,920,3,202301,1.0981,23010114,3.260869565217391,6.825460036255307
12.3667,1,2,9,0,,Northeast,9,9,,1,80000,700,1,202301,1.0981,23010115,1.4285714285714286,6.55250788703459
12.3667,1,2,9,0,,Northeast,9,9,,1,69000,590,1,202301,1.0981,23010116,1.694915254237288,6.3818160174060985
12.9182,2,2,9,0,,Midwest,9,9,,1,95000,1200,3,202301,1.0981,23010117,2.5,7.0909098220799835
47.392900000000004,1,2,9,0,,South,9,9,,1,66000,650,1,202301,1.0981,23010118,1.5384615384615385,6.478509642208569
12.9182,1,2,9,0,,Midwest,9,9,,1,120000,1200,3,202301,1.0981,23010119,2.5,7.0909098220799835
47.392900000000004,1,2,9,0,,South,9,9,,1,70000,900,1,202301,1.0981,23010120,1.1111111111111112,6.803505257608338
47.392900000000004,1,2,9,0,,South,9,9,,1,60000,840,1,202301,1.0981,23010121,1.1904761904761907,6.734591659972948
23.6964,2,1,3,0,Suburban,South,1,1,Vehicle,2,160000,1600,3,202301,1.0132,23010179,1.875,7.3783837129967145
23.6964,2,1,4,0,Rural,South,1,1,Land-Home,2,130000,1600,3,202301,1.0132,23010180,1.875,7.3783837129967145
23.6964,2,1,4,0,Suburban,South,1,2,Vehicle,2,150000,1500,3,202301,1.0132,23010181,2.0,7.313886831633462
23.6964,2,1,3,0,Rural,South,1,1,Land-Home,2,180000,1900,3,202301,1.0132,23010183,1.5789473684210527,7.550135342488429
23.6964,2,1,4,0,Suburban,South,1,2,Vehicle,2,170000,1800,3,202301,1.0132,23010184,1.6666666666666667,7.496097345175956
8.2789,2,1,3,0,Urban,West,1,1,Vehicle,2,130000,1100,3,202301,1.0132,23010185,2.7272727272727275,7.00397413672268
8.2789,2,1,3,0,Suburban,West,1,1,Vehicle,2,150000,1300,1,202301,1.0132,23010186,0.7692307692307693,7.170888478512505
8.2789,2,1,3,0,Rural,West,1,1,Vehicle,2,230000,1300,1,202301,1.0132,23010187,0.7692307692307693,7.170888478512505
8.2789,2,1,3,0,Rural,West,1,2,Land-Home,2,200000,1300,1,202301,1.0132,23010188,0.7692307692307693,7.170888478512505
8.2789,2,1,3,0,Rural,West,1,2,Land-Home,2,140000,1300,3,202301,1.0132,23010189,2.307692307692308,7.170888478512505
8.2789,2,1,3,0,Rural,West,1,1,Land-Home,2,300000,2000,3,202301,1.0132,23010190,1.5,7.601402334583733
5.5193,2,1,3,0,Suburban,,1,1,Vehicle,3,210000,2900,3,202301,1.0132,23010191,1.0344827586206897,7.972810784121404
8.2789,1,1,3,0,Urban,West,3,2,Other,2,300000,1200,3,202301,1.0132,23010192,2.5,7.0909098220799835
8.2789,1,1,4,0,Urban,West,3,1,Land-Home,2,170000,1100,1,202301,1.0132,23010193,0.9090909090909091,7.00397413672268
8.2789,1,1,4,0,Urban,West,3,1,Land-Home,2,180000,1200,1,202301,1.0132,23010194,0.8333333333333334,7.0909098220799835
8.2789,2,1,3,0,Urban,West,1,1,Land-Home,2,170000,1000,1,202301,1.0132,23010195,1.0,6.90875477931522
5.5193,1,1,3,0,Urban,,3,2,Land-Home,3,300000,1900,1,202301,1.0132,23010196,0.5263157894736842,7.550135342488429
8.2789,2,1,3,0,Rural,West,3,1,Land-Home,2,200000,2300,3,202301,1.0132,23010197,1.3043478260869565,7.741099090035366
8.2789,2,1,3,0,Urban,West,1,1,Land-Home,2,170000,1200,1,202301,1.0132,23010198,0.8333333333333334,7.0909098220799835
8.2789,1,1,4,0,Rural,West,3,2,Vehicle,2,140000,1200,1,202301,1.0132,23010199,0.8333333333333334,7.0909098220799835
8.2789,1,1,3,0,Urban,West,1,1,Land-Home,2,170000,1200,1,202301,1.0132,23010200,0.8333333333333334,7.0909098220799835
8.2789,1,1,3,0,Urban,West,1,1,Land-Home,2,190000,1300,1,202301,1.0132,23010201,0.7692307692307693,7.170888478512505
8.2789,2,1,3,0,Rural,West,3,1,Land-Home,2,160000,1600,3,202301,1.0132,23010202,1.875,7.3783837129967145
8.2789,1,1,4,0,Urban,West,3,1,Land-Home,2,170000,1100,1,202301,1.0132,23010203,0.9090909090909091,7.00397413672268
8.2789,2,1,3,0,Rural,West,3,1,Land-Home,2,130000,1000,1,202301,1.0132,23010204,1.0,6.90875477931522
23.6964,2,1,3,0,Rural,South,1,2,Land-Home,2,190000,2300,3,202301,1.0132,23010205,1.3043478260869565,7.741099090035366
8.2789,2,1,4,0,Urban,West,3,1,Land-Home,2,150000,1400,1,202301,1.0132,23010206,0.7142857142857143,7.244941546337007
8.2789,2,1,5,0,,West,4,3,Land-Home,2,92000,880,1,202301,1.0132,23010207,1.1363636363636362,6.78105762593618
8.2789,2,1,5,0,Suburban,West,4,3,Land-Home,2,92000,1100,1,202301,1.0132,23010208,0.9090909090909091,7.00397413672268
8.2789,2,1,5,0,Urban,West,3,3,Land-Home,2,130000,1100,1,202301,1.0132,23010209,0.9090909090909091,7.00397413672268
8.2789,1,1,3,0,Urban,West,3,1,Land-Home,2,140000,1300,1,202301,1.0132,23010210,0.7692307692307693,7.170888478512505
8.2789,1,1,4,0,Urban,West,3,1,Land-Home,2,150000,1500,3,202301,1.0132,23010211,2.0,7.313886831633462
8.2789,2,1,3,0,Urban,West,3,2,Vehicle,2,120000,880,1,202301,1.0132,23010212,1.1363636363636362,6.78105762593618
8.2789,2,1,4,0,Urban,West,3,2,Land-Home,2,120000,880,1,202301,1.0132,23010213,1.1363636363636362,6.78105762593618
8.2789,1,1,5,0,Rural,West,3,1,Vehicle,2,190000,1500,3,202301,1.0132,23010214,2.0,7.313886831633462
8.2789,1,1,3,0,Urban,West,3,1,Vehicle,2,140000,1300,1,202301,1.0132,23010215,0.7692307692307693,7.170888478512505
8.2789,2,1,5,0,Suburban,West,4,3,Land-Home,2,92000,880,1,202301,1.0132,23010217,1.1363636363636362,6.78105762593618
8.2789,2,1,3,0,Urban,West,3,1,Land-Home,2,140000,1200,1,202301,1.0132,23010218,0.8333333333333334,7.0909098220799835
8.2789,1,1,3,0,Urban,West,1,1,Vehicle,2,140000,1300,1,202301,1.0132,23010219,0.7692307692307693,7.170888478512505
8.2789,1,1,3,0,Urban,West,1,1,Land-Home,2,110000,1600,3,202301,1.0132,23010220,1.875,7.3783837129967145
8.2789,2,1,3,0,Urban,West,1,1,Land-Home,2,150000,1500,1,202301,1.0132,23010221,0.6666666666666666,7.313886831633462
8.2789,2,1,3,0,Urban,West,1,1,Land-Home,2,170000,1500,3,202301,1.0132,23010222,2.0,7.313886831633462
8.2789,2,1,3,0,Urban,West,1,1,Land-Home,2,160000,1600,3,202301,1.0132,23010223,1.875,7.3783837129967145
8.2789,1,1,3,0,Urban,West,1,1,Land-Home,2,150000,1500,1,202301,1.0132,23010224,0.6666666666666666,7.313886831633462
8.2789,1,1,3,0,Urban,West,1,1,Land-Home,2,130000,1200,1,202301,1.0132,23010225,0.8333333333333334,7.0909098220799835
23.6964,2,1,3,0,,South,1,1,Land-Home,2,160000,1600,3,202301,1.0132,23010226,1.875,7.3783837129967145
23.6964,2,1,5,0,Suburban,South,1,1,Vehicle,2,150000,1700,3,202301,1.0132,23010227,1.7647058823529413,7.438971592395862
23.6964,2,1,3,0,Urban,South,1,1,Land-Home,2,190000,2200,3,202301,1.0132,23010228,1.3636363636363638,7.696667081526462
23.6964,1,1,3,0,Urban,South,1,1,Other,2,120000,1100,1,202301,1.0132,23010229,0.9090909090909091,7.00397413672268
23.6964,2,1,5,0,Urban,South,1,1,Other,2,120000,1300,3,202301,1.0132,23010230,2.307692307692308,7.170888478512505
23.6964,2,1,4,0,Suburban,South,1,1,Land-Home,2,180000,1900,3,202301,1.0132,23010231,1.5789473684210527,7.550135342488429
23.6964,2,1,3,0,Rural,South,4,1,Land-Home,2,200000,2100,3,202301,1.0132,23010232,1.4285714285714286,7.650168700845001
23.6964,1,1,3,0,Urban,South,1,1,Land-Home,2,150000,1600,3,202301,1.0132,23010233,1.875,7.3783837129967145
23.6964,1,1,3,0,Urban,South,1,1,Land-Home,2,240000,1600,3,202301,1.0132,23010234,1.875,7.3783837129967145
23.6964,2,1,5,0,Rural,South,1,1,Land-Home,2,200000,2100,3,202301,1.0132,23010235,1.4285714285714286,7.650168700845001
23.6964,2,1,3,0,Urban,South,1,1,Vehicle,2,130000,1100,1,202301,1.0132,23010236,0.9090909090909091,7.00397413672268
23.6964,1,1,4,0,Rural,South,1,1,Land-Home,2,240000,2000,3,202301,1.0132,23010237,1.5,7.601402334583733
23.6964,2,1,3,0,Rural,South,1,1,Land-Home,2,200000,2500,3,202301,1.0132,23010238,1.2,7.824445930877619
23.6964,1,1,3,0,Rural,South,1,1,Land-Home,2,130000,1300,3,202301,1.0132,23010239,2.307692307692308,7.170888478512505
23.6964,2,1,3,0,Suburban,South,1,1,Land-Home,2,180000,2500,3,202301,1.0132,23010240,1.2,7.824445930877619
23.6964,2,1,3,0,Suburban,South,1,1,Land-Home,2,120000,1600,3,202301,1.0132,23010241,1.875,7.3783837129967145
23.6964,2,1,4,0,Rural,South,1,1,Land-Home,2,170000,1900,3,202301,1.0132,23010242,1.5789473684210527,7.550135342488429
23.6964,2,1,3,0,,South,1,1,Land-Home,2,93000,1500,3,202301,1.0132,23010244,2.0,7.313886831633462
6.4591,1,1,3,0,Urban,Midwest,1,1,Land-Home,2,110000,1500,3,202301,1.0132,23010246,2.0,7.313886831633462
6.4591,2,1,3,0,Urban,Midwest,1,1,Land-Home,2,160000,1600,3,202301,1.0132,23010247,1.875,7.3783837129967145
6.4591,1,1,3,0,Urban,Midwest,1,1,Land-Home,2,110000,1200,3,202301,1.0132,23010248,2.5,7.0909098220799835
6.4591,1,1,3,0,Urban,Midwest,1,1,Land-Home,2,150000,1200,3,202301,1.0132,23010249,2.5,7.0909098220799835
6.4591,2,1,3,0,Urban,Midwest,1,1,Vehicle,2,140000,1300,3,202301,1.0132,23010250,2.307692307692308,7.170888478512505
6.4591,2,1,3,0,Rural,Midwest,1,1,Vehicle,2,160000,1600,3,202301,1.0132,23010251,1.875,7.3783837129967145
6.4591,2,1,3,0,Urban,Midwest,1,1,Vehicle,2,100000,1200,3,202301,1.0132,23010253,2.5,7.0909098220799835
6.4591,1,1,3,0,Urban,Midwest,1,1,Land-Home,2,160000,1600,1,202301,1.0132,23010254,0.625,7.3783837129967145
6.4591,1,1,3,0,Urban,Midwest,1,1,Land-Home,2,180000,2100,3,202301,1.0132,23010255,1.4285714285714286,7.650168700845001
23.6964,2,1,3,0,Suburban,South,4,1,Land-Home,2,190000,2300,3,202301,1.0132,23010256,1.3043478260869565,7.741099090035366
23.6964,2,1,3,0,Suburban,South,1,1,Vehicle,2,170000,1900,3,202301,1.0132,23010257,1.5789473684210527,7.550135342488429
23.6964,2,1,3,0,Rural,South,1,2,Land-Home,2,140000,1800,3,202301,1.0132,23010258,1.6666666666666667,7.496097345175956
23.6964,2,1,3,0,Rural,South,1,1,Other,2,180000,2500,3,202301,1.0132,23010259,1.2,7.824445930877619
6.4591,2,1,3,0,Urban,Midwest,1,1,Vehicle,2,150000,1500,3,202301,1.0132,23010260,2.0,7.313886831633462
6.4591,1,1,3,0,Urban,Midwest,1,1,Other,2,86000,1200,3,202301,1.0132,23010261,2.5,7.0909098220799835
6.4591,2,1,3,0,Rural,Midwest,1,1,Land-Home,2,110000,1500,3,202301,1.0132,23010262,2.0,7.313886831633462
6.4591,2,1,3,0,Urban,Midwest,1,1,Land-Home,2,160000,1600,3,202301,1.0132,23010266,1.875,7.3783837129967145
6.4591,2,1,3,0,Urban,Midwest,1,2,Land-Home,2,120000,1100,1,202301,1.0132,23010268,0.9090909090909091,7.00397413672268
6.4591,1,1,3,0,Urban,Midwest,1,1,Other,2,170000,1600,1,202301,1.0132,23010269,0.625,7.3783837129967145
6.4591,2,1,3,0,Suburban,Midwest,1,1,Vehicle,2,120000,1300,3,202301,1.0132,23010270,2.307692307692308,7.170888478512505
6.4591,1,1,3,0,Urban,Midwest,1,1,Land-Home,2,200000,1800,3,202301,1.0132,23010271,1.6666666666666667,7.496097345175956
6.4591,2,1,5,0,Urban,Midwest,1,1,Other,2,170000,1800,3,202301,1.0132,23010273,1.6666666666666667,7.496097345175956
23.6964,2,1,5,0,Suburban,South,4,3,Land-Home,2,200000,2500,3,202301,1.0132,23010276,1.2,7.824445930877619
6.4591,2,1,3,0,Suburban,Midwest,1,1,Land-Home,2,130000,2100,3,202301,1.0132,23010277,1.4285714285714286,7.650168700845001
6.4591,2,1,3,0,Rural,Midwest,1,1,Land-Home,2,140000,1600,3,202301,1.0132,23010278,1.875,7.3783837129967145
6.4591,2,1,3,0,Urban,Midwest,1,1,Land-Home,2,260000,2400,3,202301,1.0132,23010282,1.25,7.783640596221253
8.2789,2,1,5,0,Suburban,West,3,1,Land-Home,2,150000,1500,3,202301,1.0132,23010283,2.0,7.313886831633462
8.2789,2,1,4,0,Suburban,West,3,1,Land-Home,2,180000,1900,3,202301,1.0132,23010284,1.5789473684210527,7.550135342488429
8.2789,2,1,5,0,Suburban,West,3,1,Land-Home,2,130000,1100,1,202301,1.0132,23010285,0.9090909090909091,7.00397413672268
8.2789,2,1,5,0,Suburban,West,1,1,Land-Home,2,140000,1200,1,202301,1.0132,23010286,0.8333333333333334,7.0909098220799835
8.2789,2,1,5,0,Suburban,West,1,2,Land-Home,2,92000,1700,3,202301,1.0132,23010287,1.7647058823529413,7.438971592395862
8.2789,2,1,5,0,Rural,West,1,2,Vehicle,2,170000,1900,3,202301,1.0132,23010288,1.5789473684210527,7.550135342488429
8.2789,2,1,3,0,Rural,West,1,1,Land-Home,2,200000,1600,3,202301,1.0132,23010289,1.875,7.3783837129967145
23.6964,1,1,3,0,Rural,South,1,1,Land-Home,2,180000,1700,3,202301,1.0132,23010290,1.7647058823529413,7.438971592395862
23.6964,2,1,3,0,Suburban,South,1,1,Land-Home,2,170000,1900,3,202301,1.0132,23010291,1.5789473684210527,7.550135342488429
23.6964,2,1,5,0,Suburban,South,1,2,Land-Home,2,140000,1300,3,202301,1.0132,23010292,2.307692307692308,7.170888478512505
6.4591,2,1,3,0,Urban,Midwest,1,1,Land-Home,2,130000,1100,3,202301,1.0132,23010293,2.7272727272727275,7.00397413672268
6.4591,2,1,3,0,Urban,Midwest,1,1,Land-Home,2,140000,1200,3,202301,1.0132,23010294,2.5,7.0909098220799835
