iter	RMSE
0	46083.4518
1	42257.43132
2	38986.64761
3	35985.59817
4	33371.04525
5	30878.9772
6	28600.16652
7	26548.09916
8	24558.80015
9	22791.50397
10	21032.17162
11	19690.47602
12	18426.53438
13	17122.66146
14	16066.05449
15	14989.44019
16	13970.26166
17	13199.18042
18	12379.79865
19	11652.15733
20	10936.12577
21	10315.47064
22	9722.575409
23	9131.461416
24	8588.971774
25	8089.35755
26	7669.593532
27	7330.354394
28	7039.532208
29	6716.924644
30	6406.433403
31	6137.388613
32	5871.711406
33	5654.330788
34	5473.854971
35	5286.949887
36	5100.080703
37	4909.985947
38	4771.822809
39	4614.783861
40	4484.264437
41	4342.274617
42	4223.706781
43	4109.747175
44	4023.849172
45	3926.518029
46	3844.814875
47	3743.513431
48	3694.783795
49	3620.147015
50	3547.510222
51	3501.83301
52	3455.514129
53	3402.692727
54	3350.501585
55	3313.398746
56	3272.842303
57	3195.793307
58	3122.229819
59	3083.739242
60	3044.4045
61	3009.970289
62	2970.967078
63	2951.884418
64	2921.274469
65	2901.58092
66	2879.950536
67	2830.412637
68	2802.154517
69	2756.502691
70	2735.925015
71	2702.241776
72	2686.31959
73	2665.118397
74	2630.298794
75	2589.762628
76	2572.642143
77	2552.235991
78	2529.793636
79	2505.202287
80	2479.319313
81	2456.217864
82	2434.869812
83	2410.694388
84	2402.742441
85	2380.388227
86	2363.099149
87	2348.75256
88	2324.16274
89	2302.264192
90	2284.633288
91	2262.053587
92	2238.011524
93	2222.711732
94	2201.650637
95	2182.880875
96	2161.716251
97	2143.131096
98	2131.540212
99	2118.326107
100	2099.962036
101	2070.573649
102	2054.152775
103	2040.934802
104	2027.0791
105	2011.688007
106	1990.298193
107	1972.944266
108	1950.960254
109	1938.633459
110	1927.058403
111	1915.642155
112	1897.242564
113	1880.333107
114	1870.293068
115	1855.359442
116	1842.752101
117	1825.748371
118	1816.356356
119	1801.146324
120	1797.29926
121	1793.468293
122	1782.19795
123	1777.762495
124	1762.238348
125	1751.478745
126	1730.170403
127	1726.90355
128	1711.068742
129	1708.023306
130	1697.228412
131	1694.390371
132	1681.777285
133	1667.535181
134	1657.092833
135	1654.413984
136	1641.463938
137	1630.853245
138	1618.29036
139	1615.835752
140	1602.671597
141	1600.390198
142	1589.916487
143	1579.829562
144	1566.509111
145	1558.091264
146	1549.27933
147	1542.18736
148	1530.213586
149	1520.271677
150	1518.100569
151	1513.840135
152	1504.573163
153	1496.351476
154	1487.670563
155	1475.301097
156	1466.952606
157	1464.922271
158	1463.044879
159	1456.394207
160	1448.065651
161	1440.448604
162	1426.602185
163	1415.7557
164	1410.250151
165	1408.514508
166	1403.902151
167	1390.747294
168	1387.818974
169	1378.185608
170	1375.330245
171	1369.607939
172	1362.088837
173	1358.857025
174	1351.03271
175	1343.770395
176	1342.207495
177	1336.630128
178	1331.361927
179	1324.426066
180	1319.049651
181	1313.104248
182	1306.45706
183	1299.857847
184	1293.304846
185	1284.332892
186	1281.751831
187	1273.430448
188	1268.123775
189	1262.962379
190	1257.966487
191	1253.726434
192	1246.672568
193	1241.692634
194	1236.097436
195	1225.773621
196	1219.83372
197	1213.699101
198	1206.452532
199	1197.535084
200	1191.193206
201	1186.783596
202	1180.829933
203	1177.559009
204	1171.860216
205	1167.444241
206	1163.310767
207	1160.685575
208	1156.813898
209	1151.457933
210	1146.149174
211	1142.975809
212	1137.136046
213	1135.669631
214	1130.928823
215	1125.487327
216	1122.619355
217	1120.063247
218	1116.726396
219	1110.264329
220	1105.459117
221	1100.646759
222	1093.108022
223	1088.63185
224	1086.311303
225	1082.950169
226	1076.418467
227	1072.796407
228	1067.765564
229	1063.562127
230	1062.369858
231	1058.60267
232	1054.033999
233	1048.282995
234	1043.478063
235	1042.204891
236	1038.837206
237	1033.110336
238	1028.994878
239	1022.633344
240	1017.295977
241	1016.257479
242	1012.345399
243	1008.829095
244	1003.876454
245	999.5303797
246	996.364265
247	992.4203707
248	990.0021273
249	986.5766312
250	985.4333806
251	984.5366362
252	980.1637972
253	975.4844999
254	974.410736
255	969.7887048
256	966.0007179
257	961.2608427
258	956.6724856
259	955.41704
260	950.7399378
261	948.0955283
262	941.7856766
263	938.3886428
264	935.4056767
265	934.5784264
266	930.487874
267	926.719832
268	923.0627602
269	922.1047079
270	917.4553132
271	914.2045092
272	910.6615139
273	907.5525599
274	903.1738137
275	896.9504062
276	894.8984552
277	892.483925
278	891.6039075
279	888.9563431
280	884.8678641
281	881.6918802
282	877.2435797
283	873.6792961
284	871.0836548
285	866.5374608
286	863.9517277
287	861.7257804
288	858.303036
289	855.9263564
290	853.8701633
291	851.5213523
292	849.330592
293	845.9483152
294	844.2147427
295	842.5844263
296	838.2653037
297	835.6270123
298	832.9675497
299	829.2958827
283
